1;arms_factory;2963.00;9.60;1648.00;4.78;0
1;arms_factory;2961.00;9.60;1640.00;0.06;0
1;arms_factory;2960.00;9.60;1634.00;4.18;0
1;arms_factory;2954.00;9.60;1643.00;0.56;0
1;arms_factory;2959.00;9.60;1637.00;2.12;0
1;arms_factory;2957.00;9.60;1647.00;6.24;0
1;industrial_complex;2954.00;9.60;1639.00;1.17;0
1;industrial_complex;2956.00;9.60;1650.00;5.29;0
1;industrial_complex;2960.00;9.60;1651.00;0.57;0
1;industrial_complex;2958.00;9.60;1635.00;3.23;0
1;industrial_complex;2956.00;9.60;1645.00;5.89;0
1;industrial_complex;2961.00;9.60;1644.00;3.73;0
1;air_base;2953.00;9.60;1648.00;3.84;0
1;naval_base;2955.00;9.60;1633.00;-0.79;5579
1;naval_base;2957.00;9.50;1653.00;-3.00;5555
1;naval_base;2950.00;9.50;1645.00;-1.37;5579
1;bunker;2960.00;9.60;1642.00;3.74;0
1;bunker;2957.00;9.60;1647.00;0.12;0
1;bunker;2962.00;9.60;1649.00;4.25;0
1;coastal_bunker;2962.00;9.60;1639.00;-0.79;0
1;coastal_bunker;2961.00;9.60;1653.00;-3.00;0
1;coastal_bunker;2951.00;9.50;1648.00;-1.37;0
1;dockyard;2954.00;9.50;1652.00;-2.94;0
1;anti_air_building;2954.00;9.60;1645.00;2.79;0
1;anti_air_building;2961.00;9.60;1637.00;0.63;0
1;anti_air_building;2952.00;9.60;1648.00;3.30;0
1;synthetic_refinery;2963.00;9.60;1649.00;5.96;0
1;fuel_silo;2957.00;9.60;1650.00;2.70;0
1;radar_station;2958.00;9.60;1645.00;5.68;0
1;rocket_site;2959.00;9.60;1643.00;1.74;0
1;nuclear_reactor;2957.00;9.60;1645.00;4.41;0
2;arms_factory;3021.00;11.38;1646.00;4.18;0
2;arms_factory;3005.00;9.60;1642.00;0.56;0
2;arms_factory;3021.00;9.60;1630.00;2.12;0
2;arms_factory;3017.00;9.60;1632.00;6.24;0
2;arms_factory;3009.00;9.70;1653.00;1.17;0
2;arms_factory;3012.00;9.60;1643.00;5.29;0
2;industrial_complex;3016.00;10.20;1646.00;0.57;0
2;industrial_complex;3001.00;9.50;1653.00;3.23;0
2;industrial_complex;3016.00;10.45;1648.00;5.89;0
2;industrial_complex;3012.00;9.80;1651.00;3.73;0
2;industrial_complex;3020.00;10.93;1644.00;3.84;0
2;industrial_complex;3030.00;9.60;1630.00;1.68;0
2;air_base;3000.00;9.60;1651.00;5.80;0
2;naval_base;3022.00;9.50;1628.00;0.46;1452
2;naval_base;3029.00;9.50;1627.00;0.00;1452
2;naval_base;3009.00;9.50;1636.00;-0.79;5656
2;naval_base;2999.00;9.50;1645.00;-0.54;5656
2;naval_base;3007.00;9.50;1638.00;-0.79;5656
2;bunker;3028.00;9.60;1628.00;2.19;0
2;bunker;3014.00;10.07;1649.00;4.85;0
2;bunker;3008.00;9.65;1649.00;1.23;0
2;bunker;3005.00;9.60;1651.00;2.79;0
2;bunker;3031.00;9.73;1632.00;0.63;0
2;bunker;3011.00;9.60;1638.00;3.30;0
2;bunker;3018.00;10.60;1646.00;5.96;0
2;coastal_bunker;3003.00;9.50;1642.00;-0.79;0
2;coastal_bunker;3010.00;9.50;1634.00;-0.79;0
2;coastal_bunker;2999.00;9.50;1645.00;-0.54;0
2;coastal_bunker;3021.00;9.50;1627.00;0.46;0
2;coastal_bunker;3029.00;9.50;1627.00;0.00;0
2;dockyard;3000.00;9.50;1644.00;-0.79;0
2;anti_air_building;3012.00;9.60;1640.00;0.19;0
2;anti_air_building;3007.00;9.60;1644.00;1.39;0
2;anti_air_building;3009.00;9.60;1646.00;4.42;0
2;synthetic_refinery;3011.00;9.80;1653.00;2.26;0
2;fuel_silo;3011.00;9.60;1635.00;4.92;0
2;radar_station;3015.00;9.73;1642.00;1.11;0
2;rocket_site;3026.00;10.18;1636.00;2.86;0
2;nuclear_reactor;2998.00;9.60;1648.00;0.70;0
3;arms_factory;2940.00;12.70;1728.00;2.12;0
3;arms_factory;2931.00;11.32;1724.00;6.24;0
3;arms_factory;2938.00;10.28;1743.00;1.17;0
3;arms_factory;2937.00;10.50;1737.00;5.29;0
3;arms_factory;2935.00;10.50;1742.00;0.57;0
3;arms_factory;2940.00;10.40;1738.00;3.23;0
3;industrial_complex;2934.00;10.60;1733.00;5.89;0
3;industrial_complex;2936.00;10.53;1736.00;3.73;0
3;industrial_complex;2937.00;11.53;1730.00;3.84;0
