1;2779.00;9.60;1824.00;small
1;2809.00;9.50;1833.00;small
2;2781.00;9.57;1872.00;small
2;2752.00;9.60;1837.00;small
3;2747.00;9.60;1952.00;small
3;2748.00;9.60;1913.00;small
4;2678.00;9.60;1850.00;small
4;2705.00;9.60;1875.00;small
5;2891.00;9.50;1811.00;small
5;2908.00;9.60;1843.00;small
6;2954.00;9.50;1846.00;small
6;2976.00;9.60;1903.00;small
7;2938.00;9.73;1796.00;big
7;2984.00;10.13;1769.00;big
8;3037.00;9.60;1840.00;big
9;3108.00;9.60;1953.00;big
9;3147.00;9.50;2008.00;big
10;3035.00;9.60;1931.00;big
10;3055.00;9.60;1982.00;big
11;2941.00;11.90;2002.00;big
11;2979.00;11.05;2059.00;big
12;3325.00;9.60;2207.00;big
12;3244.00;9.60;2205.00;big
12;3407.00;9.50;2182.00;big
12;3207.00;9.50;2157.00;big
12;3278.00;9.78;2164.00;big
13;3260.00;9.60;2068.00;big
13;3196.00;9.60;2043.00;big
14;3868.00;9.60;2001.00;big
14;3782.00;9.50;1906.00;big
14;3794.00;9.50;2068.00;big
14;3760.00;9.50;2005.00;big
14;3875.00;9.50;2059.00;big
14;3890.00;9.60;1948.00;big
14;3971.00;9.50;1925.00;big
14;3820.00;9.50;1943.00;big
14;3937.00;9.50;1981.00;big
16;2840.00;9.50;1909.00;big
16;2805.00;9.50;2041.00;big
17;3468.00;9.50;996.00;big
17;3548.00;10.98;1092.00;big
17;3397.00;12.90;971.00;big
17;3429.00;13.50;1159.00;big
18;2850.00;9.50;1828.00;small
18;2768.00;9.50;1789.00;small
19;2887.00;9.50;1759.00;big
19;2816.00;9.50;1767.00;big
20;2831.00;9.50;1693.00;big
20;2896.00;10.30;1692.00;big
21;2955.00;9.65;1718.00;big
21;3032.00;12.78;1742.00;big
22;3109.00;10.68;1774.00;small
22;3051.00;9.55;1794.00;small
23;3054.00;9.60;1611.00;small
23;3001.00;9.93;1668.00;small
24;3068.00;10.55;1690.00;small
24;3131.00;12.00;1660.00;small
